guid,verb,verb_hiragana,verb_romaji,verb_1,verb_1_hiragana,verb_1_romaji,verb_2,verb_2_hiragana,verb_2_romaji,transitivity,pattern,meaning,meaning_en,meaning_ko,nlb_link,structure
L1jS<Dfy<3,明け渡す,あけわたす,akewatasu,明ける,あける,akeru,渡す,わたす,watasu,他,N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>家や場所を明けて、人に渡す。</p><ul><li><p>城主が城を敵に明け渡した。 (Jōshu ga shiro o teki ni akewatashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To vacate a house or other place and hand it over to someone else.</p><ul><li><p>The lord handed over the castle to the enemy.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>집이나 장소를 비워, 다른 이에게 내어 주다.</p><ul><li><p>성주가 성을 적에게 내어 주었다.</p></li></ul></li></ol>",V.05666,VV
KEqj@c%f:=,嘲り笑う,あざけりわらう,azakeriwarau,嘲る,あざける,azakeru,笑う,わらう,warau,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>ばかにして笑う。あざ笑う。嘲笑する。</p><ul><li><p>彼は、友達に嘲り笑われた。 (Kare wa, tomodachi ni azakeriwarawareta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To laugh derisively at someone. To laugh mockingly. To snicker.</p><ul><li><p>He was snickered at by his friends.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>놀리며 웃다. 비웃다. 조롱하다.</p><ul><li><p>남자는 친구에게 조롱당했다.</p></li></ul></li></ol>",V.12952,VV
xqhc&]Yo~#,与り知る,あずかりしる,azukarishiru,与る,あずかる,azukaru,知る,しる,shiru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>《否定形で用いて》関係して知っている。関知する。</p><ul><li><p>私が与り知らぬことだ。 (Watashi ga azukarishiranu koto da.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(Used as a negative) To know through direct involvement.</p><ul><li><p>That is something about which I have no direct knowledge.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>《부정형으로》관련되어 알다. 관여하다.</p><ul><li><p>나와 관련없어 모르는 일이다.</p></li></ul></li></ol>",V.08791,VV
d4fetEOmT9,預け入れる,あずけいれる,azukeireru,預ける,あずける,azukeru,入れる,いれる,ireru,他,N1ガ|N2ヲ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>銀行に預けるために口座に入れる。</p><ul><li><p>私は貯金を銀行に預け入れた。 (Watashi wa chokin o ginkō ni azukeireta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To put money into an account so as to entrust it to the bank.</p><ul><li><p>I deposited my savings in the bank.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>은행에 맡기려고 계좌에 넣다.</p><ul><li><p>나는 돈을 은행에 예치했다.</p></li></ul></li></ol>",V.10773,VV
PF*Q^2i@V<,遊び暮らす,あそびくらす,asobikurasu,遊ぶ,あそぶ,asobu,暮らす,くらす,kurasu,自（意志）,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>一日中、遊んで過ごす。</p><ul><li><p>私は大学６年間を遊び暮らした。 (Watashi wa daigaku rokunenkan o asobikurashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To spend the entire day playing.</p><ul><li><p>I spent my six years as a university student goofing around.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>하루종일 놀고 지내다.</p><ul><li><p>나는 대학 6년간을 놀고 지냈다.</p></li></ul></li></ol>",V.11177,VV
QT.nXeFf+/,遊び戯れる,あそびたわむれる,asobitawamureru,遊ぶ,あそぶ,asobu,戯れる,たわむれる,tawamureru,自（意志）,N1ガ|N2ト,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>遊んでたわむれる。たのしく遊ぶ。</p><ul><li><p>子供たちが庭で遊び戯れていた。 (Kodomotachi ga niwa de asobitawamurete ita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To play and frolic. To have fun playing.</p><ul><li><p>The children were frolicking and playing in the yard.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>장난치며 놀다. 즐겁게 놀다.</p><ul><li><p>아이들이 정원에서 즐겁게 놀고 있었다.</p></li></ul></li></ol>",V.12954,VV
xf/h9-{tlw,遊び疲れる,あそびつかれる,asobitsukareru,遊ぶ,あそぶ,asobu,疲れる,つかれる,tsukareru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>遊んで疲れる。</p><ul><li><p>子供たちは遊び疲れた。 (Kodomotachi wa asobitsukareta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To become tired by playing.</p><ul><li><p>The children exhausted themselves playing.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>놀다 지치다.</p><ul><li><p>아이들은 놀다 지쳤다.</p></li></ul></li></ol>",V.08892,VV
nma==S=h}s,当たり散らす,あたりちらす,atarichirasu,当たる,あたる,ataru,散らす,ちらす,chirasu,自（意志）,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>相手構わず、あちこちに当たる（八つ当たりする）。</p><ul><li><p>彼は友達や家族に当り散らした。 (Kare wa tomodachi ya kazoku ni atarichirashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To direct one's rage at people indiscriminately (lash out).</p><ul><li><p>He lashed out at his friends and family.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>상대에 상관없이 여기저기에 이유없이 화를내다 (화풀이를 하다).</p><ul><li><p>남자는 친구와 가족한테 화풀이를 했다.</p></li></ul></li></ol>",V.07461,Vs
QuY:gQr$yk,当てこする,あてこする,atekosuru,当てる,あてる,ateru,こする,こする,kosuru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>他のことにかこつけて、遠回しに相手の皮肉を言う。</p><ul><li><p>彼は彼女の成績の良さを当てこすった。 (Kare wa kanojo no seiseki no yosa o atekosutta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To use something as an excuse to make an indirectly sarcastic remark about someone.</p><ul><li><p>He made insinuating remarks about her good grades.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>다른 일을 핑계삼아 애둘러 상대에게 빈정거리다.</p><ul><li><p>남자는 여자의 성적이 좋다며 빈정거렸다.</p></li></ul></li></ol>",V.08617,V
"u@X,#*6Z&o",当て込む,あてこむ,atekomu,当てる,あてる,ateru,込む,こむ,komu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>良い結果を期待して、すっかり当てにする。</p><ul><li><p>彼はボーナスを当て込んでいた。 (Kare wa bōnasu o atekonde ita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To expect a good result and depend on it.</p><ul><li><p>He was counting on getting his bonus.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>좋은 결과를 기대하며, 완전히 의지하다.</p><ul><li><p>남자는 보너스를 기대하고 있었다.</p></li></ul></li></ol>",V.07925,Vs
dY}%34Ami[,当て付ける,あてつける,atetsukeru,当てる,あてる,ateru,付ける,つける,tsukeru,他,(1)N1ガ|N2ニ|N3ヲ；(2)N1ガ|N2ニ|N3ヲ,"<ol style=""""><li><p>他のことにかこつけて、遠回しに相手の皮肉を言う。</p><ul><li><p>母親は子供に当て付けるように部屋の掃除をした。 (Hahaoya wa kodomo ni atetsukeru yō ni heya no sōji o shita.)</p></li></ul></li><li><p>男女の仲のよいことを人に見せつける。</p><ul><li><p>私は二人に仲の良さを当て付けられた。 (Watashi wa futari ni naka no yosa o atetsukerareta.)</p></li></ul></li></ol>","<ol style=""""><li><p>To use something as an excuse to make an indirectly sarcastic remark.</p><ul><li><p>The mother cleaned the room as a rebuke to the child.</p></li></ul></li><li><p>To show off to other people how well a man and woman get along.</p><ul><li><p>They exhibited their relationship to me in an in-your-face manner.</p></li></ul></li></ol>","<ol style=""""><li><p>직접 관계 없는 일을 일부러 보이거나 하여 상대를 비꼬다.</p><ul><li><p>어머니는 아이를 비꼬듯 방청소를 했다.</p></li></ul></li><li><p>남녀사이가 좋음을 사람들에게 과시하다.</p><ul><li><p>두 사람은 사이가 좋은 것을 나에게 과시했다.</p></li></ul></li></ol>",V.07525,V
Fo*H;&=~PC,当てはまる,あてはまる,atehamaru,当てる,あてる,ateru,はまる,はまる,hamaru,自,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>適合する、ぴったり合う。</p><ul><li><p>この教訓はすべての人々に当てはまる。 (Kono kyōkun wa subete no hitobito ni atehamaru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To apply to, fit perfectly.</p><ul><li><p>This lesson applies to everyone.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>적합하다. 꼭 맞다.</p><ul><li><p>이 교훈은 모든 사람들에게 들어맞는다.</p></li></ul></li></ol>",V.01194,V
lj|spVO<`C,当てはめる,あてはめる,atehameru,当てる,あてる,ateru,はめる,はめる,hameru,他,N1ガ|N2ニ|N3ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>適用する、適合させる。</p><ul><li><p>私は公式に数字を当てはめた。 (Watashi wa kōshiki ni sūji o atehameta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To apply, make fit.</p><ul><li><p>I plugged the numbers into the mathematical formula.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>적용하다. 적합하게 하다.</p><ul><li><p>나는 공식에 숫자를 적용했다.</p></li></ul></li></ol>",V.02071,V
b<EkO336uN,暴き出す,あばきだす,abakidasu,暴く,あばく,abaku,出す,だす,dasu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>悪事などを暴いて、明るみに出す。</p><ul><li><p>その記者が事件の真相を暴き出した。 (Sono kisha ga jiken no shinsō o abakidashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To expose bad deeds and bring them out into the light.</p><ul><li><p>The journalist exposed the truth about the incident.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>악행 등을 파헤쳐, 들추어 내다.</p><ul><li><p>그 기자가 사건의 진상을 규명했다.</p></li></ul></li></ol>",V.08128,VV
c>;3Ep$5I5,暴き立てる,あばきたてる,abakitateru,暴く,あばく,abaku,立てる,たてる,tateru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>他人の秘密や欠点などをことさら暴く。</p><ul><li><p>新聞記者は、政治家のプライバシーを暴き立てた。 (Shinbun kisha wa, seijika no puraibashii o abakitateta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To deliberately expose the secrets or flaws of other people.</p><ul><li><p>The newspaper journalist exposed the politician's private life.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>타인의 비밀이나 결점 등을 일부러 폭로하다.</p><ul><li><p>신문기자는 정치가의 프라이버시를 폭로했다.</p></li></ul></li></ol>",V.10254,Vs
Ks@w26gOp~,暴れ込む,あばれこむ,abarekomu,暴れる,あばれる,abareru,込む,こむ,komu,自（意志）,N1ガ|N2ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>暴れながら（荒々しく）入る。</p><ul><li><p>群衆がその店に暴れ込んだ。 (Gunshū ga sono mise ni abarekonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To enter violently (roughly).</p><ul><li><p>The mob fought its way into the shop.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>날뛰며 (난폭하게) 들어가다.</p><ul><li><p>군중이 그 가게에 난폭하게 침입했다.</p></li></ul></li></ol>",V.12240,VV
v}1g`_qN<K,暴れ回る,あばれまわる,abaremawaru,暴れる,あばれる,abareru,回る,まわる,mawaru,自（意志）,(1)N1ガ：N1ガ|N2ヲ；(2)N1ガ：N1ガ|N2ヲ,"<ol style=""""><li><p>あちこちで乱暴な行いをする。</p><ul><li><p>暴走族は夜中に街中を暴れ回った。 (Bōsōzoku wa yonaka ni machinaka o abaremawatta.)</p></li></ul></li><li><p>競技などで大活躍する。</p><ul><li><p>ピッチャーの桑田とバッターの清原は1983年から1985年まで甲子園で暴れ回った。 (Pitchā no kuwata to battā no kiyohara wa 1983nen kara 1985nen made kōshien de abaremawatta.)</p></li></ul></li></ol>","<ol style=""""><li><p>To behave violently over a wide area.</p><ul><li><p>The motorcycle gang terrorized the city by night.</p></li></ul></li><li><p>To be highly successful in competitive sports.</p><ul><li><p>Kuwata the pitcher and Kiyohara the batter ruled Koshien from 1983 to 1985.</p></li></ul></li></ol>","<ol style=""""><li><p>여기저기에서 난폭한 행동을 하다.</p><ul><li><p>폭주족은 밤중에 거리에서 날뛰었다.</p></li></ul></li><li><p>경기 등에서 대활약하다.</p><ul><li><p>투수인 구와타와 타자인 기요하라는 1983년부터 1985년까지 고교야구대회에서 큰 활약을 했다.</p></li></ul></li></ol>",V.05943,Vs
y;X~|@Nd.},浴びせ掛ける,あびせかける,abisekakeru,浴びせる,あびせる,abiseru,掛ける,かける,kakeru,他,N1ガ|N2ニ|N3ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>相手に対する攻撃として、水・砲撃・罵声・質問などを相手に勢いよく浴びせる。</p><ul><li><p>彼は水鉄砲で友達に冷たい水を浴びせ掛けた。 (Kare wa mizudeppō de tomodachi ni tsumetai mizu o abisekaketa.)</p></li><li><p>観客は選手に野次を浴びせ掛けた。 (Kankyaku wa senshu ni yaji o abisekaketa.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To shower someone with water, gunfire, abuse, or questions as a form of attack.</p><ul><li><p>He used his water gun to drench his friends with cold water.</p></li><li><p>The crowd showered the athlete with jeers.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>상대에 대한 공격으로, 물, 포격, 욕설, 질문 등을 상대에게 기세좋게 퍼붓다.</p><ul><li><p>남자는 물총으로 친구에게 차가운 물을 쏘아댔다.</p></li><li><p>관객은 선수에게 야유를 퍼부었다.</p></li></ul></li></ol>",V.11381,Vs
gEG#]evi7K,あぶり出す,あぶりだす,aburidasu,あぶる,あぶる,aburu,出す,だす,dasu,他,(1)N1ガ|N2ヲ；(2)N1ガ|N2ヲ,"<ol style=""""><li><p>火であぶって、隠されていた文字や絵を表に出す。</p><ul><li><p>火鉢にかざして、文字をあぶり出した。 (Hibachi ni kazashite, moji o aburidashita.)</p></li></ul></li><li><p>関連する事柄を調べて、隠されていた事実を明らかにする。</p><ul><li><p>警察は、防犯ビデオの映像から容疑者をあぶり出した。 (Keisatsu wa, bōhan bideo no eizō kara yōgisha o aburidashita.)</p></li></ul></li></ol>","<ol style=""""><li><p>To hold over fire so as to reveal hidden words or pictures.</p><ul><li><p>They held it over the fire to reveal the hidden words.</p></li></ul></li><li><p>To investigate related matters and bring to light hidden truths.</p><ul><li><p>The police revealed the identity of the suspect from the security camera footage.</p></li></ul></li></ol>","<ol style=""""><li><p>불에 쬐어 숨겨져 있던 문자나 그림이 보이게 하다.</p><ul><li><p>화로에 쬐어서, 문자가 나타나게 했다.</p></li></ul></li><li><p>관련된 사항을 조사해서, 숨겨져 있던 사실을 밝히다.</p><ul><li><p>경찰은 방범비디오 영상으로 용의자를 파악했다.</p></li></ul></li></ol>",V.07462,VV
>6De](QV>,あふれ落ちる,あふれおちる,afureochiru,あふれる,あふれる,afureru,落ちる,おちる,ochiru,自,N1ガ|N2カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>溢れて、下に落ちる。</p><ul><li><p>涙が目からあふれ落ちた。 (Namida ga me kara afureochita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To overflow and fall.</p><ul><li><p>Tears poured down from my eyes.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>넘쳐서, 아래로 떨어지다.</p><ul><li><p>눈물이 눈에서 흘려내렸다.</p></li></ul></li></ol>",V.13399,VV
g.IY|m[Gv3,あふれ返る,あふれかえる,afurekaeru,あふれる,あふれる,afureru,返る,かえる,kaeru,自,N1ニ|N2ガ：N1ガ|N2デ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>場所の収容力以上に、いっぱいである。</p><ul><li><p>駅前にはタクシー待ちの人たちがあふれ返っていた。 (Ekimae niwa takushiimachi no hitotachi ga afurekaette ita.)</p></li><li><p>駅前はタクシー待ちの人たちであふれ返っていた。 (Ekimae wa takushiimachi no hitotachi de afurekaette ita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(Of a place) To be full beyond capacity.</p><ul><li><p>There were huge crowds of people waiting for taxis in front of the station.</p></li><li><p>The area in front of the station was crawling with people waiting for taxis.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>장소의 수용력 이상으로 가득차 있다.</p><ul><li><p>역앞에는 택시를 기다리는 사람들이 넘쳐났다.</p></li><li><p>역앞은 택시를 기다리는 사람들로 넘쳐났다.</p></li></ul></li></ol>",V.05335,Vs
zqu!@n$dQC,あふれ出す,あふれだす,afuredasu,あふれる,あふれる,afureru,出す,だす,dasu,自,N1ガ|N2カラ|N3ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>容器からあふれて外に出る。</p><ul><li><p>水がバケツからあふれ出した。 (Mizu ga baketsu kara afuredashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To overflow from a container and spill over the top of it.</p><ul><li><p>The water flowed over the rim of the bucket.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>용기에서 넘쳐 나오다.</p><ul><li><p>물이 물통에서 넘쳐 흘렀다.</p></li></ul></li></ol>",V.04470,Vs
g7$!iGZv]6,あふれ出る,あふれでる,afurederu,あふれる,あふれる,afureru,出る,でる,deru,自,N1ガ|N2カラ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>容器からあふれて、外に出る。</p><ul><li><p>お湯が浴槽からあふれ出た。 (Oyu ga yokusō kara afuredeta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To overflow from a container and spill over the top of it.</p><ul><li><p>The hot water flowed over the rim of the bathtub.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>용기에서 넘쳐 나오다.</p><ul><li><p>온수가 욕조에서 넘쳐 흘렀다.</p></li></ul></li></ol>",V.03914,VV
weYQsN96.^,甘え掛かる,あまえかかる,amaekakaru,甘える,あまえる,amaeru,掛かる,かかる,kakaru,自（意志）,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>甘えて寄り掛かる。</p><ul><li><p>子供が母親に甘え掛かった。 (Kodomo ga hahaoya ni amaekakatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To lean against someone to cuddle up to them.</p><ul><li><p>The child leaned against its mother for a cuddle.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>어리광을 부리다.</p><ul><li><p>아이가 어머니에게 어리광을 부렸다.</p></li></ul></li></ol>",,VV
